current_state,previous_state,estimate,margin_of_error,year
HI,NY,1339,794.0,2010
HI,OH,625,515.0,2010
HI,OK,57,94.0,2010
HI,OR,1834,958.0,2010
HI,PA,553,478.0,2010
HI,RI,644,829.0,2010
HI,SC,322,378.0,2010
HI,SD,267,380.0,2010
HI,TN,142,205.0,2010
HI,TX,6694,2760.0,2010
HI,UT,467,369.0,2010
HI,VA,2644,1136.0,2010
HI,VT,0,275.0,2010
HI,WA,2705,883.0,2010
HI,WI,1168,1133.0,2010
HI,WV,483,782.0,2010
HI,WY,18,33.0,2010
IA,AK,519,407.0,2010
IA,AL,330,202.0,2010
IA,AR,247,190.0,2010
IA,AZ,1483,623.0,2010
IA,CA,2847,1227.0,2010
IA,CO,2554,865.0,2010
IA,CT,114,155.0,2010
IA,DC,53,85.0,2010
IA,DE,0,228.0,2010
IA,FL,1364,573.0,2010
IA,GA,973,472.0,2010
IA,HI,866,651.0,2010
IA,ID,315,415.0,2010
IA,IL,17016,2840.0,2010
IA,IN,1710,917.0,2010
IA,KS,1520,741.0,2010
IA,KY,334,377.0,2010
IA,LA,315,384.0,2010
IA,MA,189,175.0,2010
IA,MD,134,156.0,2010
IA,ME,0,228.0,2010
IA,MI,1439,652.0,2010
IA,MN,7564,1722.0,2010
IA,MO,6031,2253.0,2010
IA,MS,117,138.0,2010
IA,MT,836,743.0,2010
IA,NC,1123,744.0,2010
IA,ND,601,617.0,2010
IA,NE,4783,1799.0,2010
IA,NH,381,531.0,2010
IA,NJ,472,405.0,2010
IA,NM,492,490.0,2010
IA,NV,623,371.0,2010
IA,NY,273,270.0,2010
IA,OH,632,421.0,2010
IA,OK,679,491.0,2010
IA,OR,1071,568.0,2010
IA,PA,378,242.0,2010
IA,RI,0,228.0,2010
IA,SC,591,442.0,2010
IA,SD,1992,980.0,2010
IA,TN,1617,1222.0,2010
IA,TX,4131,1470.0,2010
IA,UT,146,156.0,2010
IA,VA,303,329.0,2010
IA,VT,45,81.0,2010
IA,WA,538,365.0,2010
IA,WI,2705,1206.0,2010
IA,WV,0,228.0,2010
IA,WY,111,119.0,2010
ID,AK,3264,1813.0,2010
ID,AL,376,369.0,2010
ID,AR,45,73.0,2010
ID,AZ,3086,2015.0,2010
ID,CA,8932,2415.0,2010
ID,CO,1372,867.0,2010
ID,CT,0,267.0,2010
ID,DC,144,233.0,2010
ID,DE,0,267.0,2010
ID,FL,612,508.0,2010
ID,GA,313,280.0,2010
ID,HI,123,206.0,2010
ID,IA,773,470.0,2010
ID,IL,169,236.0,2010
ID,IN,132,133.0,2010
ID,KS,422,415.0,2010
ID,KY,315,272.0,2010
ID,LA,59,102.0,2010
ID,MA,115,135.0,2010
ID,MD,44,73.0,2010
ID,ME,202,272.0,2010
ID,MI,427,363.0,2010
ID,MN,465,613.0,2010
ID,MO,425,345.0,2010
ID,MS,37,61.0,2010
ID,MT,1509,584.0,2010
ID,NC,134,164.0,2010
ID,ND,96,112.0,2010
ID,NE,0,267.0,2010
ID,NH,109,147.0,2010
ID,NJ,97,148.0,2010
ID,NM,694,811.0,2010
ID,NV,2110,1061.0,2010
ID,NY,155,169.0,2010
ID,OH,325,261.0,2010
ID,OK,711,702.0,2010
ID,OR,3202,1259.0,2010
ID,PA,172,206.0,2010
ID,RI,0,267.0,2010
ID,SC,0,267.0,2010
ID,SD,296,375.0,2010
ID,TN,1153,995.0,2010
ID,TX,1746,951.0,2010
ID,UT,8014,2403.0,2010
